"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2019-08-26T19:24:52+00:00","701-9716095-1361045","DS-0065B6","B07F778YX3","X001TRQ8JB","DasMarine Double Side Round Neodymium Fishing Magnet, 2.36"" Diameter Combined 530LBS Pulling Force Super Strong Neodymium Magnet with Eyebolt for Magn","1","YYZ1","SELLABLE","UNDELIVERABLE_UNKNOWN","Reimbursed","LPNN273311393",
"2019-08-26T19:22:57+00:00","111-4315616-4569013","DS-0144","B07JY7YY5G","X001XQIK85","Homend Garage Door Seal Bottom Rubber Weatherproofing Threshold Buffering Replacement Black (3/8 Inch T-End,16FT Long)","1","IND8","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNN281125847",
"2019-08-26T19:11:20+00:00","701-9498978-3048244","AI-0005B6","B07FJ79Q1Q","X001TT7GC7","DasMarine 304 Stainless Steel Screw and Nut 520 Pcs, M3 M4 M5 M6 Hex Socket Head Cap Screws Assortment Set Kit (520 PCS (M3 M4 M5 M6))","1","YYZ1","CUSTOMER_DAMAGED","NOT_COMPATIBLE","Unit returned to inventory","LPNN265844328",
"2019-08-26T19:09:34+00:00","112-8022342-6975464","DS-0164-04","B07M7C5CRK","X00202L77H","Homend 4 Pack Plastic Sofa Legs, Sofa Legs Replacement Furniture Sofa Legs with Mounting Plates Screws Chair/Couch/Loveseat/Cabinet M8 Thread (Metric","1","IND8","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN256861903",
"2019-08-26T19:09:34+00:00","112-8022342-6975464","DS-0164-04","B07M7C5CRK","X00202L77H","Homend 4 Pack Plastic Sofa Legs, Sofa Legs Replacement Furniture Sofa Legs with Mounting Plates Screws Chair/Couch/Loveseat/Cabinet M8 Thread (Metric","1","IND8","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN256861902",
"2019-08-26T19:09:34+00:00","112-8022342-6975464","DS-0164-04","B07M7C5CRK","X00202L77H","Homend 4 Pack Plastic Sofa Legs, Sofa Legs Replacement Furniture Sofa Legs with Mounting Plates Screws Chair/Couch/Loveseat/Cabinet M8 Thread (Metric","1","IND8","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN256861904",
"2019-08-26T19:04:20+00:00","112-6226880-8207430","JJ-0246-BK","B07QWD3V4W","X0024HCGRX","Homend 110V Electric Motorized Rotating Turntable Display Stand, 6inch/15cm Diameter 44lb Load, 360 Degree Rotating in Either Direction, for Photograp","1","IND8","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNN258284391",
"2019-08-26T18:18:09+00:00","111-5277922-3345011","JJ-0321-BKA","B07MJ9BL1J","X00202KWWX","Homend 110V Electric Motorized Rotating Turntable Display Stand, 18inch/45cm Diameter, 110pounds Load, 360 Degree Rotating in Either Direction, for Ph","1","CVG2","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR769743500",
"2019-08-26T14:46:33+00:00","112-7378571-2654655","DS-0131","B07K41TLVX","X001XYIJPV","Homend Automatic Water Pump Pressure Controller, 110V Automatic Water Pump Pressure Controller with Electronic Pressure Switch Home Accessory","1","IND8","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNN276831320","Description incomplete. No spec for the water connections. Can't find fittings that fit correctly."
"2019-08-26T14:44:28+00:00","114-8151567-3299426","LU-0040","B07Q28TQT5","X0023KF2TP","DasMarine 3 Step Ladder 316 Stainless Steel Telescoping Ladder, 900 Pound Capacity for Marine Yacht/Swimming Pool with Retaining Strap (3 Step Ladder)","1","LAS2","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNRR744102866","Item description says 316 grade stainless steel and it isn't. Perhaps 304 but 316 would have a stamp."
